id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	brand	color	size	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	parent_sku	catwalk_video	release_date	half_price	sales_count_conversions_10_days	inventory_count	sales_count_conversions_1_day	woh	wide_width	wide_calf
BS2253286-2990-83120	16727141	"Dakota Heeled Bootie"	" Material: Faux Leather Heel Height: 2.5"" Shaft Height (based on size 8): 3.25"" Closure: Inside Zipper Measurements will vary slightly Imported "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/BS2253286-2990/BS2253286-2990-2_589x860.jpg		https://www.justfab.com/products/DAKOTA-HEELED-BOOTIE-BS2253286-2990-2	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	JustFab	"Leather Brown"	12						BS2253286-2990		2023/08/30	$12.89	0	4385	0	"4385 Wide Width Available"	"Wide Width Available"	
BS2356619-1090-83120	16727076	"Brienne Platform Bootie"	" Material: Faux Leather Heel Height: 3.5"" Platform Height: 1.0"" Shaft Height (based on size 8): 4.75"" Closure: Functional Inside Zipper Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/BS2356619-1090/BS2356619-1090-2_589x860.jpg		https://www.justfab.com/products/Brienne-Platform-Bootie-BS2356619-1090	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	"Bright White"	12						BS2356619-1090		2023/08/30	$13.49	0	1596	0	1596		
BS2356619-2990-83120	16727011	"Brienne Platform Bootie"	" Material: Faux Leather Heel Height: 3.5"" Platform Height: 1.0"" Shaft Height (based on size 8): 4.75"" Closure: Functional Inside Zipper Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/BS2356619-2990/BS2356619-2990-2_589x860.jpg		https://www.justfab.com/products/Brienne-Platform-Bootie-BS2356619-2990	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	"Leather Brown"	12						BS2356619-2990		2023/08/30	$13.49	0	2597	0	2597		
BS2356620-1429-83120	16726521	"Alessia Platform Bootie"	" Material: Faux Leather Heel Height: 4.0"" Platform Height: 1.5"" Shaft Height (based on size 8): 3.75"" Closure: Adjustable Laces Imported. "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/BS2356620-1429/BS2356620-1429-2_589x860.jpg		https://www.justfab.com/products/Alessia-Platform-Bootie-BS2356620-1429	"in stock"	"Fashion > Shoes > Boots > Combat"	JustFab	"Birch White"	12						BS2356620-1429		2023/08/30	$15.89	0	1194	0	1194		
BS2356621-0001-83120	16727556	"Letty Block Heeled Lace-Up Bootie"	" Material: Faux Leather Heel Height: 4.25"" Platform Height: 1.5"" Shaft Height (based on size 8): 4.75"" Closure: Functional Inside Zipper Imported. "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/BS2356621-0001/BS2356621-0001-2_589x860.jpg		https://www.justfab.com/products/Letty-Block-Heeled-Lace-Up-Bootie-BS2356621-0001	"in stock"	"Fashion > Shoes > Boots > Combat"	JustFab	Black	12						BS2356621-0001		2023/08/30	$14.99	5	1664	0	29.7		
BS2356622-0001-83120	16728156	"Rae Pointed Toe Bootie"	" Material: Faux Leather Heel Height: 3.25"" Shaft Height (based on size 8): 3.25"" Closure: Pull On Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/BS2356622-0001/BS2356622-0001-2_589x860.jpg		https://www.justfab.com/products/Rae-Pointed-Toe-Bootie-BS2356622-0001	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	Black	12						BS2356622-0001		2023/08/30	$11.99	0	1800	0	1800		
BS2356622-1440-83120	16728221	"Rae Pointed Toe Bootie"	" Material: Faux Leather Heel Height: 3.25"" Shaft Height (based on size 8): 3.25"" Closure: Pull On Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/BS2356622-1440/BS2356622-1440-2_589x860.jpg		https://www.justfab.com/products/Rae-Pointed-Toe-Bootie-BS2356622-1440	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	Bone	12						BS2356622-1440		2023/08/30	$11.99	0	1400	0	1400		
BS2356623-2820-83065	16727866	"Nolan Flat Chelsea Bootie"	" Material: Faux Suede Heel Height: 1.5"" Shaft Height (based on size 8): 4.0"" Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in D fit Closure: Pull On Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/BS2356623-2820/BS2356623-2820-2_589x860.jpg		https://www.justfab.com/products/Nolan-Flat-Chelsea-Bootie-BS2356623-2820	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	Coffee	6.5						BS2356623-2820		2023/08/30	$11.99	15	2341	2	"15.9 Wide Width Available"	"Wide Width Available"	
BS2356623-5593-83055	16727751	"Nolan Flat Chelsea Bootie"	" Material: Faux Suede Heel Height: 1.5"" Shaft Height (based on size 8): 4.0"" Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in D fit Closure: Pull On Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/BS2356623-5593/BS2356623-5593-2_589x860.jpg		https://www.justfab.com/products/Nolan-Flat-Chelsea-Bootie-BS2356623-5593	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	GRAY	5.5						BS2356623-5593		2023/08/30	$11.99	14	3934	4	"17.6 Wide Width Available"	"Wide Width Available"	
BS2356633-0001-84120	16730536	"Lennox Stiletto Bootie"	" Material: Faux Leather Heel Height: 3.0"" Shaft Height (based on size 8): 4.75"" Closure: Functional Inside Zipper Imported. "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/BS2356633-0001/BS2356633-0001-2_589x860.jpg		https://www.justfab.com/products/Lennox-Stiletto-Bootie-BS2356633-0001	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	Black	12						BS2356633-0001		2023/08/30	$15.89	0	1200	0	1200		
BS2356634-0001-84120	16729301	"Arden Lug Sole Bootie"	" Material: Faux Leather Heel Height: 2.5"" Platform Height: 1.75"" Shaft Height (based on size 8): 5.25"" Closure: Pull On Imported. "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/BS2356634-0001/BS2356634-0001-2_589x860.jpg		https://www.justfab.com/products/Arden-Lug-Sole-Bootie-BS2356634-0001	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	Black	12						BS2356634-0001		2023/08/30	$14.99	5	2697	0	192.6		
BS2356634-2150-84120	16729366	"Arden Lug Sole Bootie"	" Material: Faux Suede Heel Height: 2.5"" Platform Height: 1.75"" Shaft Height (based on size 8): 5.25"" Closure: Pull On Imported. "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/BS2356634-2150/BS2356634-2150-2_589x860.jpg		https://www.justfab.com/products/Arden-Lug-Sole-Bootie-BS2356634-2150	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	Sand	12						BS2356634-2150		2023/08/30	$14.99	7	1908	0	68.1		
BS2356634-6242-84120	16729431	"Arden Lug Sole Bootie"	" Material: Faux Leather Heel Height: 2.5"" Platform Height: 1.75"" Shaft Height (based on size 8): 5.25"" Closure: Pull On Imported. "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/BS2356634-6242/BS2356634-6242-2_589x860.jpg		https://www.justfab.com/products/Arden-Lug-Sole-Bootie-BS2356634-6242	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	"Maroon Banner"	12						BS2356634-6242		2023/08/30	$14.99	3	1161	0	82.9		
BS2356637-0001-84120	16729886	"Hera Platform Bootie"	" Material: Faux Leather Heel Height: 5.25"" Platform Height: 2.5"" Shaft Height (based on size 8): 5.0"" Closure: Functional Inside Zipper Imported. "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/BS2356637-0001/BS2356637-0001-2_589x860.jpg		https://www.justfab.com/products/Hera-Platform-Bootie-BS2356637-0001	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	Black	12						BS2356637-0001		2023/08/30	$15.89	0	1786	0	1786		
BS2356638-0001-84120	16730981	"Nava Stiletto Bootie"	" Material: Faux Suede Heel Height: 3.0"" Shaft Height (based on size 8): 5.0"" Closure: Pull On Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/BS2356638-0001/BS2356638-0001-2_589x860.jpg		https://www.justfab.com/products/Nava-Stiletto-Bootie-BS2356638-0001	"in stock"	"Fashion > Shoes > Boots > Slouch"	JustFab	Black	12						BS2356638-0001		2023/08/30	$13.49	0	1587	0	1587		
BS2356638-1610-84120	16731046	"Nava Stiletto Bootie"	" Material: Faux Leather Heel Height: 3.0"" Shaft Height (based on size 8): 5.0"" Closure: Pull On Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/BS2356638-1610/BS2356638-1610-2_589x860.jpg		https://www.justfab.com/products/Nava-Stiletto-Bootie-BS2356638-1610	"in stock"	"Fashion > Shoes > Boots > Slouch"	JustFab	Champagne	12						BS2356638-1610		2023/08/30	$13.49	0	1200	0	1200		
BS2356638-8280-84120	16731111	"Nava Stiletto Bootie"	" Material: Faux Suede Heel Height: 3.0"" Shaft Height (based on size 8): 5.0"" Closure: Pull On Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/BS2356638-8280/BS2356638-8280-2_589x860.jpg		https://www.justfab.com/products/Nava-Stiletto-Bootie-BS2356638-8280	"in stock"	"Fashion > Shoes > Boots > Slouch"	JustFab	"Acai Purple"	12						BS2356638-8280		2023/08/30	$13.49	0	1008	0	1008		
BS2356653-0001-84120	16731501	"Shanae Stiletto Bootie"	" Material: Faux Leather Heel Height: 4.0"" Shaft Height (based on size 8): 5.5"" Closure: Functional Inside Zipper Imported. "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/BS2356653-0001/BS2356653-0001-2_589x860.jpg		https://www.justfab.com/products/Shanae-Stiletto-Bootie-BS2356653-0001	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	Black	12						BS2356653-0001		2023/08/30	$12.89	6	1716	1	27.2		
BS2356653-8283-84120	16731566	"Shanae Stiletto Bootie"	" Material: Faux Suede Heel Height: 4.0"" Shaft Height (based on size 8): 5.5"" Closure: Functional Inside Zipper Imported. "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/BS2356653-8283/BS2356653-8283-2_589x860.jpg		https://www.justfab.com/products/Shanae-Stiletto-Bootie-BS2356653-8283	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	"Forest Biome Green"	12						BS2356653-8283		2023/08/30	$12.89	3	950	1	27.1		
BS2356692-2990-83120	16727141	"Dakota Heeled Bootie"	" Material: Faux Leather Heel Height: 2.5"" Shaft Height (based on size 8): 3.25"" Closure: Inside Zipper Measurements will vary slightly Imported "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/BS2253286-2990/BS2253286-2990-2_589x860.jpg		https://www.justfab.com/products/DAKOTA-HEELED-BOOTIE-BS2253286-2990-2	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	JustFab	"Leather Brown"	12						BS2356692-2990		2023/08/30	$12.89	0	4385	0	"4385 Wide Width Available"	"Wide Width Available"	
BS2356694-2820-81065	16727866	"Nolan Flat Chelsea Bootie"	" Material: Faux Suede Heel Height: 1.5"" Shaft Height (based on size 8): 4.0"" Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in D fit Closure: Pull On Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/BS2356623-2820/BS2356623-2820-2_589x860.jpg		https://www.justfab.com/products/Nolan-Flat-Chelsea-Bootie-BS2356623-2820	"out of stock"	"Fashion > Shoes > Boots > Booties"	JustFab	Coffee	6.5						BS2356694-2820		2023/08/30	$11.99	15	2341	2	"15.9 Wide Width Available"	"Wide Width Available"	
BS2356694-5593-81055	16727751	"Nolan Flat Chelsea Bootie"	" Material: Faux Suede Heel Height: 1.5"" Shaft Height (based on size 8): 4.0"" Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in D fit Closure: Pull On Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/BS2356623-5593/BS2356623-5593-2_589x860.jpg		https://www.justfab.com/products/Nolan-Flat-Chelsea-Bootie-BS2356623-5593	"out of stock"	"Fashion > Shoes > Boots > Booties"	JustFab	GRAY	5.5						BS2356694-5593		2023/08/30	$11.99	14	3934	4	"17.6 Wide Width Available"	"Wide Width Available"	
CW2356640-0001-84120	16730276	"Sylvie Lug Sole Bootie"	" Material: Faux Leather Heel Height: 2.5"" Platform Height: 1.75"" Shaft Height (based on size 8): 4.0"" Closure: Adjustable Laces Imported. "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/CW2356640-0001/CW2356640-0001-2_589x860.jpg		https://www.justfab.com/products/Sylvie-Lug-Sole-Bootie-CW2356640-0001	"in stock"	"Fashion > Shoes > Boots > Combat"	JustFab	Black	12						CW2356640-0001		2023/08/30	$15.89	0	1206	0	1206		
CW2356640-1429-84120	16730211	"Sylvie Lug Sole Bootie"	" Material: Faux Leather Heel Height: 2.5"" Platform Height: 1.75"" Shaft Height (based on size 8): 4.0"" Closure: Adjustable Laces Imported. "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/CW2356640-1429/CW2356640-1429-2_589x860.jpg		https://www.justfab.com/products/Sylvie-Lug-Sole-Bootie-CW2356640-1429	"in stock"	"Fashion > Shoes > Boots > Combat"	JustFab	"Birch White"	12						CW2356640-1429		2023/08/30	$15.89	0	1502	0	1502		
CW2356689-8310-83120	16727686	"Madrid Lug Sole Bootie"	" Material: Faux Suede Heel Height: 2.25"" Platform Height: 1.0"" Shaft Height (based on size 8): 5.5"" Closure: Adjustable Laces Imported. "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/CW2356689-8310/CW2356689-8310-2_589x860.jpg		https://www.justfab.com/products/Madrid-Lug-Sole-Bootie-CW2356689-8310	"in stock"	"Fashion > Shoes > Boots > Combat"	JustFab	"Cubb/ Oatmeal"	12						CW2356689-8310		2023/08/30	$15.89	0	1795	0	1795		
FB1830168-0001-84120	16535241	"Annabeth Quilted Flat Boot"	" Material: Faux-Leather Outside Heel Height: 1.25"" Shaft Height: 18.25"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide Width + Wide Calf size is available in E fit Closure: Functional Inner Zip "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/FB1830168-0001/FB1830168-0001-2_589x860.jpg		https://www.justfab.com/products/ANNABETH-FB1830168-0001	"in stock"	"Fashion > Shoes > Boots > Moto"	JustFab	Black	12						FB1830168-0001		2023/08/30	$15.89	28	2040	1	"145.7 Wide Calf Available"		"Wide Calf Available"
FB2045004-0001-84120	16535241	"Annabeth Quilted Flat Boot"	" Material: Faux-Leather Outside Heel Height: 1.25"" Shaft Height: 18.25"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide Width + Wide Calf size is available in E fit Closure: Functional Inner Zip "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/FB1830168-0001/FB1830168-0001-2_589x860.jpg		https://www.justfab.com/products/ANNABETH-FB1830168-0001	"in stock"	"Fashion > Shoes > Boots > Moto"	JustFab	Black	12						FB2045004-0001		2023/08/30	$15.89	28	2040	1	"145.7 Wide Calf Available"		"Wide Calf Available"
FB2253090-1533-84120	13975159	"Emyr Over-The-Knee Boot"	" Material: Faux Leather Heel Height: 2.25"" Platform Height: 1.0"" Shaft Height (based on size 8): 14.5"" Measurements will vary slightly Closure: Adjustable Laces Imported "	"$64.95 "	$16.24	https://us-cdn.justfab.com/media/images/products/FB2253090-1533/FB2253090-1533-2_589x860.jpg		https://www.justfab.com/products/Emyr-Buckle-Tall-Boot-FB2253090-1533	"in stock"	"Fashion > Shoes > Boots > Combat"	JustFab	"Black Caviar"	12						FB2253090-1533		2023/08/30	$19.49	7	1160	0	82.9		
FB2356617-0001-84120	16731631	"Vienna Flat Boot"	" Material: Faux Leather Heel Height: 2.5"" Platform Height: 1.75"" Shaft Height (based on size 8): 15.0"" Closure: Functional Inside Zipper Imported. "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/FB2356617-0001/FB2356617-0001-2_589x860.jpg		https://www.justfab.com/products/Vienna-Flat-Boot-FB2356617-0001	"in stock"	"Fashion > Shoes > Boots > Combat"	JustFab	Black	12						FB2356617-0001		2023/08/30	$17.99	4	1255	0	179.3		
FB2356618-1429-84120	16729756	"Cady Heeled Boot"	" Material: Faux Leather Heel Height: 2.0"" Shaft Height (based on size 8): 15.75"" Closure: Functional Inside Zipper Imported. "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/FB2356618-1429/FB2356618-1429-2_589x860.jpg		https://www.justfab.com/products/Cady-Heeled-Boot-FB2356618-1429	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	JustFab	"Birch White"	12						FB2356618-1429		2023/08/30	$17.99	3	784	0	56		
FB2356618-2820-84120	16729821	"Cady Heeled Boot"	" Material: Faux Leather Heel Height: 2.0"" Shaft Height (based on size 8): 15.75"" Closure: Functional Inside Zipper Imported. "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/FB2356618-2820/FB2356618-2820-2_589x860.jpg		https://www.justfab.com/products/Cady-Heeled-Boot-FB2356618-2820	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	JustFab	Coffee	12						FB2356618-2820		2023/08/30	$17.99	3	754	0	35.9		
FB2356654-0001-83120	15045235	"Valerie Flat Boot"	" Material: Faux Leather Heel Height: 1.25"" Shaft Height: 14.75"" Closure: Functional Inside Zipper Wide Width has additional room across the footbed, ball of the foot, and instep Wide Width + Wide Calf size is available in E fit Measurements will vary slightly Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/FB2356654-0001/FB2356654-0001-2_589x860.jpg		https://www.justfab.com/products/Valerie-Flat-Boot-FB2356654-0001	"in stock"	"Fashion > Shoes > Boots > Riding"	JustFab	Black	12						FB2356654-0001		2023/08/30	$14.99	0	2606	0	"2606 Wide Calf Available"		"Wide Calf Available"
FB2356654-2458-83120	15045110	"Valerie Flat Boot"	" Material: Faux Leather Heel Height: 1.25"" Shaft Height: 14.75"" Closure: Functional Inside Zipper Wide Width has additional room across the footbed, ball of the foot, and instep Wide Width + Wide Calf size is available in E fit Measurements will vary slightly Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/FB2356654-2458/FB2356654-2458-2_589x860.jpg		https://www.justfab.com/products/Valerie-Flat-Boot-FB2356654-2458	"in stock"	"Fashion > Shoes > Boots > Riding"	JustFab	Taupe	12						FB2356654-2458		2023/08/30	$14.99	0	2808	0	"2808 Wide Calf Available"		"Wide Calf Available"
FB2356655-0001-88120	15045235	"Valerie Flat Boot"	" Material: Faux Leather Heel Height: 1.25"" Shaft Height: 14.75"" Closure: Functional Inside Zipper Wide Width has additional room across the footbed, ball of the foot, and instep Wide Width + Wide Calf size is available in E fit Measurements will vary slightly Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/FB2356654-0001/FB2356654-0001-2_589x860.jpg		https://www.justfab.com/products/Valerie-Flat-Boot-FB2356654-0001	"in stock"	"Fashion > Shoes > Boots > Riding"	JustFab	Black	12						FB2356655-0001		2023/08/30	$14.99	0	2606	0	"2606 Wide Calf Available"		"Wide Calf Available"
FB2356655-2458-88120	15045110	"Valerie Flat Boot"	" Material: Faux Leather Heel Height: 1.25"" Shaft Height: 14.75"" Closure: Functional Inside Zipper Wide Width has additional room across the footbed, ball of the foot, and instep Wide Width + Wide Calf size is available in E fit Measurements will vary slightly Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/FB2356654-2458/FB2356654-2458-2_589x860.jpg		https://www.justfab.com/products/Valerie-Flat-Boot-FB2356654-2458	"in stock"	"Fashion > Shoes > Boots > Riding"	JustFab	Taupe	12						FB2356655-2458		2023/08/30	$14.99	0	2808	0	"2808 Wide Calf Available"		"Wide Calf Available"
FB2356715-2820-84120	16729951	"Embry Over-The-Knee Flat Boot"	" Material: Faux Suede Heel Height: 2.0"" Platform Height: 1.25"" Shaft Height (based on size 8): 20.75"" Closure: Functional Inside Zipper Imported. "	"$59.95 "	$14.99	https://us-cdn.justfab.com/media/images/products/FB2356715-2820/FB2356715-2820-2_589x860.jpg		https://www.justfab.com/products/Embry-Over-The-Knee-Flat-Boot-FB2356715-2820	"in stock"	"Fashion > Shoes > Boots > Moto"	JustFab	Coffee	12						FB2356715-2820		2023/08/30	$17.99	0	1396	0	1396		
FB2357582-0001-83120	15056150	"Addie Western Boot"	" Material: Faux Leather Heel Height: 2.25"" Shaft Height: 11.5"" Measurements will vary slightly Closure: Pull on Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/FB2357582-0001/FB2357582-0001-2_589x860.jpg		https://www.justfab.com/products/Addie-Western-Boot-FB2357582-0001	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	JustFab	Black	12						FB2357582-0001		2023/08/30	$14.99	40	1219	5	9.7		
FS2150485-1219-30110	16726586	"Brittany Knit Sock Fuzzie"	" Material: Textile Heel Height: 1.0"" Shaft Height (based on size 8): 22.25"" Closure: Pull On Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/FS2150485-1219/FS2150485-1219-2_589x860.jpg		https://www.justfab.com/products/Brittany-Knit-Sock-Fuzzie-FS2150485-1219	"in stock"	"Fashion > Shoes > Boots > Fuzzies"	JustFab	"Marshmallow White"	11						FS2150485-1219		2023/08/30	$11.99	0	1995	0	1995		
FS2150485-1533-30110	12489607	"Brittany Knit Sock Fuzzie"	" Material: Textile Heel Height: 1.0"" Shaft Height (based on size 8): 22.25"" Closure: Pull On Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/FS2150485-1533/FS2150485-1533-2_589x860.jpg		https://www.justfab.com/products/Brittany-Knit-Sock-Fuzzie-FS2150485-1533	"in stock"	"Fashion > Shoes > Boots > Fuzzies"	JustFab	"Black Caviar"	11						FS2150485-1533	https://us-cdn.justfab.com/media/video/products/FS2150485-0111/FS2150485-0111.mp4	2023/08/30	$11.99	8	3585	1	32		
FS2354054-0001-84110	16729106	"Hailey Platform Fuzzie"	" Material: Faux Suede Heel Height: 1.5"" Platform Height: 1.5"" Closure: Slip On Imported. "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/FS2354054-0001/FS2354054-0001-2_589x860.jpg		https://www.justfab.com/products/Hailey-Platform-Fuzzie-FS2354054-0001	"in stock"	"Fashion > Shoes > Boots > Fuzzies"	JustFab	Black	11						FS2354054-0001		2023/08/30	$8.99	39	2342	6	15.9		
